Level,Abandoned Foundry,Accursed Crypts,ACF Site,Asten Labratory,Bunker,CabIn,CIDOM Metro,DeepcoreMines,Drains,Dreary Pipeworks,Expanded Mineshaft,Gearbolt Foundry,Gothic Monastery,Gray Apartments,Guardia Fortress,junkrooms,Liminal Facility,LostEdifice,Niven Reactor,Raven Manor,Rubber Rooms,Scarlet Basement,Scarlet Foyer,Slaughterhouse,Spelunkers Caverns Basic,Spelunkers Caverns Crystal,Spelunkers Caverns Frozen,Spelunkers Caverns Magmatic,Spelunkers Caverns Overgrown,Spelunkers Caverns Random,Storehouse,Studio Floor,Sub Systems,Substation,Supermarket,Tower,Zeranos Gray Apartments,Zeranos Guardia Fortress,Facility (Level1Flow),Haunted Mansion (Level2Flow),Mineshaft (Level3Flow)
Phobos  Deimos,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
EGypt,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
PsychSanctum,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Corrosion,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Vaporization,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Kast,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Maritopia,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Rockwell,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Burrow,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
Praetor,1.92,0.00,0.00,3.85,3.85,3.85,0.77,3.85,3.85,0.77,5.77,1.92,0.77,3.85,0.77,3.85,5.77,3.85,0.77,3.85,3.85,1.92,1.92,3.85,0.77,0.77,0.77,0.77,0.77,0.00,1.92,3.85,3.85,3.85,3.85,3.85,0.00,0.00,3.85,3.85,1.92
